! layer sector x0 y0 x1 y1 z0 z1 z2 z3 z4 z5 
2 8 72.405631 -0.421185 58.824952 -42.218216 -219.021000 -109.066000 -107.396000 2.559000 4.229000 114.184000
2 9 58.824952 42.218216 72.405631 0.421185 -219.021000 -109.066000 -107.396000 2.559000 4.229000 114.184000
2 10 22.775141 68.731694 58.329820 42.899707 -219.021000 -109.066000 -107.396000 2.559000 4.229000 114.184000
3 1 -21.974000 92.785000 21.974000 92.785000 -179.655000 -69.700000 -68.030000 41.925000 43.595000 153.550000
3 2 -60.055793 74.062235 -20.460013 93.130558 -179.655000 -69.700000 -68.030000 41.925000 43.595000 153.550000
3 3 -86.242799 40.670536 -58.841669 75.030466 -179.655000 -69.700000 -68.030000 41.925000 43.595000 153.550000
3 4 -95.348361 -0.776461 -85.569011 42.069671 -179.655000 -69.700000 -68.030000 41.925000 43.595000 153.550000
3 5 -85.569011 -42.069671 -95.348361 0.776461 -179.655000 -69.700000 -68.030000 41.925000 43.595000 153.550000
3 6 -58.841669 -75.030466 -86.242799 -40.670536 -179.655000 -69.700000 -68.030000 41.925000 43.595000 153.550000
3 7 -20.460013 -93.130558 -60.055793 -74.062235 -179.655000 -69.700000 -68.030000 41.925000 43.595000 153.550000
3 8 21.974000 -92.785000 -21.974000 -92.785000 -179.655000 -69.700000 -68.030000 41.925000 43.595000 153.550000
3 9 60.055793 -74.062235 20.460013 -93.130558 -179.655000 -69.700000 -68.030000 41.925000 43.595000 153.550000
3 10 86.242799 -40.670536 58.841669 -75.030466 -179.655000 -69.700000 -68.030000 41.925000 43.595000 153.550000
3 11 95.348361 0.776461 85.569011 -42.069671 -179.655000 -69.700000 -68.030000 41.925000 43.595000 153.550000
3 12 85.569011 42.069671 95.348361 -0.776461 -179.655000 -69.700000 -68.030000 41.925000 43.595000 153.550000
3 13 58.841669 75.030466 86.242799 40.670536 -179.655000 -69.700000 -68.030000 41.925000 43.595000 153.550000
3 14 20.460013 93.130558 60.055793 74.062235 -179.655000 -69.700000 -68.030000 41.925000 43.595000 153.550000
4 1 -21.974000 96.652000 21.974000 96.652000 -179.655000 -69.700000 -68.030000 41.925000 43.595000 153.550000
4 2 -61.733621 77.546282 -22.137841 96.614604 -179.655000 -69.700000 -68.030000 41.925000 43.595000 153.550000
4 3 -89.266141 43.081571 -61.865012 77.441501 -179.655000 -69.700000 -68.030000 41.925000 43.595000 153.550000
4 4 -99.118408 0.084027 -89.339058 42.930159 -179.655000 -69.700000 -68.030000 41.925000 43.595000 153.550000
4 5 -89.339058 -42.930159 -99.118408 -0.084027 -179.655000 -69.700000 -68.030000 41.925000 43.595000 153.550000
4 6 -61.865012 -77.441501 -89.266141 -43.081571 -179.655000 -69.700000 -68.030000 41.925000 43.595000 153.550000
4 7 -22.137841 -96.614604 -61.733621 -77.546282 -179.655000 -69.700000 -68.030000 41.925000 43.595000 153.550000
4 8 21.974000 -96.652000 -21.974000 -96.652000 -179.655000 -69.700000 -68.030000 41.925000 43.595000 153.550000
4 9 61.733621 -77.546282 22.137841 -96.614604 -179.655000 -69.700000 -68.030000 41.925000 43.595000 153.550000
4 10 89.266141 -43.081571 61.865012 -77.441501 -179.655000 -69.700000 -68.030000 41.925000 43.595000 153.550000
4 11 99.118408 -0.084027 89.339058 -42.930159 -179.655000 -69.700000 -68.030000 41.925000 43.595000 153.550000
4 12 89.339058 42.930159 99.118408 0.084027 -179.655000 -69.700000 -68.030000 41.925000 43.595000 153.550000
4 13 61.865012 77.441501 89.266141 43.081571 -179.655000 -69.700000 -68.030000 41.925000 43.595000 153.550000
4 14 22.137841 96.614604 61.733621 77.546282 -179.655000 -69.700000 -68.030000 41.925000 43.595000 153.550000
5 1 -21.974000 120.205000 21.974000 120.205000 -140.695000 -30.740000 -29.070000 80.885000 82.555000 192.510000
5 2 -61.761337 105.440201 -20.463726 120.471302 -140.695000 -30.740000 -29.070000 80.885000 82.555000 192.510000
5 3 -94.099345 77.957757 -60.433224 106.206987 -140.695000 -30.740000 -29.070000 80.885000 82.555000 192.510000
5 4 -115.087584 41.072458 -93.113584 79.132542 -140.695000 -30.740000 -29.070000 80.885000 82.555000 192.510000
5 5 -122.194561 -0.766786 -114.563071 42.513545 -140.695000 -30.740000 -29.070000 80.885000 82.555000 192.510000
5 6 -114.563071 -42.513545 -122.194561 0.766786 -140.695000 -30.740000 -29.070000 80.885000 82.555000 192.510000
5 7 -93.113584 -79.132542 -115.087584 -41.072458 -140.695000 -30.740000 -29.070000 80.885000 82.555000 192.510000
5 8 -60.433224 -106.206987 -94.099345 -77.957757 -140.695000 -30.740000 -29.070000 80.885000 82.555000 192.510000
5 9 -20.463726 -120.471302 -61.761337 -105.440201 -140.695000 -30.740000 -29.070000 80.885000 82.555000 192.510000
5 10 21.974000 -120.205000 -21.974000 -120.205000 -140.695000 -30.740000 -29.070000 80.885000 82.555000 192.510000
5 11 61.761337 -105.440201 20.463726 -120.471302 -140.695000 -30.740000 -29.070000 80.885000 82.555000 192.510000
5 12 94.099345 -77.957757 60.433224 -106.206987 -140.695000 -30.740000 -29.070000 80.885000 82.555000 192.510000
5 13 115.087584 -41.072458 93.113584 -79.132542 -140.695000 -30.740000 -29.070000 80.885000 82.555000 192.510000
5 14 122.194561 0.766786 114.563071 -42.513545 -140.695000 -30.740000 -29.070000 80.885000 82.555000 192.510000
5 15 114.563071 42.513545 122.194561 -0.766786 -140.695000 -30.740000 -29.070000 80.885000 82.555000 192.510000
5 16 93.113584 79.132542 115.087584 41.072458 -140.695000 -30.740000 -29.070000 80.885000 82.555000 192.510000
5 17 60.433224 106.206987 94.099345 77.957757 -140.695000 -30.740000 -29.070000 80.885000 82.555000 192.510000
5 18 20.463726 120.471302 61.761337 105.440201 -140.695000 -30.740000 -29.070000 80.885000 82.555000 192.510000
6 1 -21.974000 124.072000 21.974000 124.072000 -140.695000 -30.740000 -29.070000 80.885000 82.555000 192.510000
6 2 -63.083929 109.073992 -21.786318 124.105093 -140.695000 -30.740000 -29.070000 80.885000 82.555000 192.510000
6 3 -96.585005 80.920051 -62.918884 109.169281 -140.695000 -30.740000 -29.070000 80.885000 82.555000 192.510000
6 4 -118.436504 43.005958 -96.462504 81.066042 -140.695000 -30.740000 -29.070000 80.885000 82.555000 192.510000
6 5 -126.002813 -0.095289 -118.371322 43.185042 -140.695000 -30.740000 -29.070000 80.885000 82.555000 192.510000
6 6 -118.371322 -43.185042 -126.002813 0.095289 -140.695000 -30.740000 -29.070000 80.885000 82.555000 192.510000
6 7 -96.462504 -81.066042 -118.436504 -43.005958 -140.695000 -30.740000 -29.070000 80.885000 82.555000 192.510000
6 8 -62.918884 -109.169281 -96.585005 -80.920051 -140.695000 -30.740000 -29.070000 80.885000 82.555000 192.510000
6 9 -21.786318 -124.105093 -63.083929 -109.073992 -140.695000 -30.740000 -29.070000 80.885000 82.555000 192.510000
6 10 21.974000 -124.072000 -21.974000 -124.072000 -140.695000 -30.740000 -29.070000 80.885000 82.555000 192.510000
6 11 63.083929 -109.073992 21.786318 -124.105093 -140.695000 -30.740000 -29.070000 80.885000 82.555000 192.510000
6 12 96.585005 -80.920051 62.918884 -109.169281 -140.695000 -30.740000 -29.070000 80.885000 82.555000 192.510000
6 13 118.436504 -43.005958 96.462504 -81.066042 -140.695000 -30.740000 -29.070000 80.885000 82.555000 192.510000
6 14 126.002813 0.095289 118.371322 -43.185042 -140.695000 -30.740000 -29.070000 80.885000 82.555000 192.510000
6 15 118.371322 43.185042 126.002813 -0.095289 -140.695000 -30.740000 -29.070000 80.885000 82.555000 192.510000
6 16 96.462504 81.066042 118.436504 43.005958 -140.695000 -30.740000 -29.070000 80.885000 82.555000 192.510000
6 17 62.918884 109.169281 96.585005 80.920051 -140.695000 -30.740000 -29.070000 80.885000 82.555000 192.510000
6 18 21.786318 124.105093 63.083929 109.073992 -140.695000 -30.740000 -29.070000 80.885000 82.555000 192.510000
7 1 -21.974000 161.115000 21.974000 161.115000 -82.571000 27.384000 29.054000 139.009000 140.679000 250.634000
7 2 -62.924885 149.937850 -20.474376 161.312429 -82.571000 27.384000 29.054000 139.009000 140.679000 250.634000
7 3 -99.587542 128.542683 -61.527458 150.516683 -82.571000 27.384000 29.054000 139.009000 140.679000 250.634000
7 4 -129.463473 98.387545 -98.387545 129.463473 -82.571000 27.384000 29.054000 139.009000 140.679000 250.634000
7 5 -150.516683 61.527458 -128.542683 99.587542 -82.571000 27.384000 29.054000 139.009000 140.679000 250.634000
7 6 -161.312429 20.474376 -149.937850 62.924885 -82.571000 27.384000 29.054000 139.009000 140.679000 250.634000
7 7 -161.115000 -21.974000 -161.115000 21.974000 -82.571000 27.384000 29.054000 139.009000 140.679000 250.634000
7 8 -149.937850 -62.924885 -161.312429 -20.474376 -82.571000 27.384000 29.054000 139.009000 140.679000 250.634000
7 9 -128.542683 -99.587542 -150.516683 -61.527458 -82.571000 27.384000 29.054000 139.009000 140.679000 250.634000
7 10 -98.387545 -129.463473 -129.463473 -98.387545 -82.571000 27.384000 29.054000 139.009000 140.679000 250.634000
7 11 -61.527458 -150.516683 -99.587542 -128.542683 -82.571000 27.384000 29.054000 139.009000 140.679000 250.634000
7 12 -20.474376 -161.312429 -62.924885 -149.937850 -82.571000 27.384000 29.054000 139.009000 140.679000 250.634000
7 13 21.974000 -161.115000 -21.974000 -161.115000 -82.571000 27.384000 29.054000 139.009000 140.679000 250.634000
7 14 62.924885 -149.937850 20.474376 -161.312429 -82.571000 27.384000 29.054000 139.009000 140.679000 250.634000
7 15 99.587542 -128.542683 61.527458 -150.516683 -82.571000 27.384000 29.054000 139.009000 140.679000 250.634000
7 16 129.463473 -98.387545 98.387545 -129.463473 -82.571000 27.384000 29.054000 139.009000 140.679000 250.634000
7 17 150.516683 -61.527458 128.542683 -99.587542 -82.571000 27.384000 29.054000 139.009000 140.679000 250.634000
7 18 161.312429 -20.474376 149.937850 -62.924885 -82.571000 27.384000 29.054000 139.009000 140.679000 250.634000
7 19 161.115000 21.974000 161.115000 -21.974000 -82.571000 27.384000 29.054000 139.009000 140.679000 250.634000
7 20 149.937850 62.924885 161.312429 20.474376 -82.571000 27.384000 29.054000 139.009000 140.679000 250.634000
7 21 128.542683 99.587542 150.516683 61.527458 -82.571000 27.384000 29.054000 139.009000 140.679000 250.634000
7 22 98.387545 129.463473 129.463473 98.387545 -82.571000 27.384000 29.054000 139.009000 140.679000 250.634000
7 23 61.527458 150.516683 99.587542 128.542683 -82.571000 27.384000 29.054000 139.009000 140.679000 250.634000
7 24 20.474376 161.312429 62.924885 149.937850 -82.571000 27.384000 29.054000 139.009000 140.679000 250.634000
8 1 -21.974000 164.982000 21.974000 164.982000 -82.571000 27.384000 29.054000 139.009000 140.679000 250.634000
8 2 -63.925738 153.673085 -21.475230 165.047664 -82.571000 27.384000 29.054000 139.009000 140.679000 250.634000
8 3 -101.521042 131.891603 -63.460958 153.865603 -82.571000 27.384000 29.054000 139.009000 140.679000 250.634000
8 4 -132.197855 101.121927 -101.121927 132.197855 -82.571000 27.384000 29.054000 139.009000 140.679000 250.634000
8 5 -153.865603 63.460958 -131.891603 101.521042 -82.571000 27.384000 29.054000 139.009000 140.679000 250.634000
8 6 -165.047664 21.475230 -153.673085 63.925738 -82.571000 27.384000 29.054000 139.009000 140.679000 250.634000
8 7 -164.982000 -21.974000 -164.982000 21.974000 -82.571000 27.384000 29.054000 139.009000 140.679000 250.634000
8 8 -153.673085 -63.925738 -165.047664 -21.475230 -82.571000 27.384000 29.054000 139.009000 140.679000 250.634000
8 9 -131.891603 -101.521042 -153.865603 -63.460958 -82.571000 27.384000 29.054000 139.009000 140.679000 250.634000
8 10 -101.121927 -132.197855 -132.197855 -101.121927 -82.571000 27.384000 29.054000 139.009000 140.679000 250.634000
8 11 -63.460958 -153.865603 -101.521042 -131.891603 -82.571000 27.384000 29.054000 139.009000 140.679000 250.634000
8 12 -21.475230 -165.047664 -63.925738 -153.673085 -82.571000 27.384000 29.054000 139.009000 140.679000 250.634000
8 13 21.974000 -164.982000 -21.974000 -164.982000 -82.571000 27.384000 29.054000 139.009000 140.679000 250.634000
8 14 63.925738 -153.673085 21.475230 -165.047664 -82.571000 27.384000 29.054000 139.009000 140.679000 250.634000
8 15 101.521042 -131.891603 63.460958 -153.865603 -82.571000 27.384000 29.054000 139.009000 140.679000 250.634000
8 16 132.197855 -101.121927 101.121927 -132.197855 -82.571000 27.384000 29.054000 139.009000 140.679000 250.634000
8 17 153.865603 -63.460958 131.891603 -101.521042 -82.571000 27.384000 29.054000 139.009000 140.679000 250.634000
8 18 165.047664 -21.475230 153.673085 -63.925738 -82.571000 27.384000 29.054000 139.009000 140.679000 250.634000
8 19 164.982000 21.974000 164.982000 -21.974000 -82.571000 27.384000 29.054000 139.009000 140.679000 250.634000
8 20 153.673085 63.925738 165.047664 21.475230 -82.571000 27.384000 29.054000 139.009000 140.679000 250.634000
8 21 131.891603 101.521042 153.865603 63.460958 -82.571000 27.384000 29.054000 139.009000 140.679000 250.634000
8 22 101.121927 132.197855 132.197855 101.121927 -82.571000 27.384000 29.054000 139.009000 140.679000 250.634000
8 23 63.460958 153.865603 101.521042 131.891603 -82.571000 27.384000 29.054000 139.009000 140.679000 250.634000
8 24 21.475230 165.047664 63.925738 153.673085 -82.571000 27.384000 29.054000 139.009000 140.679000 250.634000
