! layer sector x0 y0 x1 y1 z0 z1 z2 z3 z4 z5 
1 1 -21.974000 65.125000 21.974000 65.125000 -219.021000 -109.066000 -107.396000 2.559000 4.229000 114.184000
1 2 -56.056854 39.771239 -20.502175 65.603225 -219.021000 -109.066000 -107.396000 2.559000 4.229000 114.184000
1 3 -68.727895 -0.773784 -55.147216 41.023248 -219.021000 -109.066000 -107.396000 2.559000 4.229000 114.184000
1 4 -55.147216 -41.023248 -68.727895 0.773784 -219.021000 -109.066000 -107.396000 2.559000 4.229000 114.184000
1 5 -20.502175 -65.603225 -56.056854 -39.771239 -219.021000 -109.066000 -107.396000 2.559000 4.229000 114.184000
1 6 21.974000 -65.125000 -21.974000 -65.125000 -219.021000 -109.066000 -107.396000 2.559000 4.229000 114.184000
1 7 56.056854 -39.771239 20.502175 -65.603225 -219.021000 -109.066000 -107.396000 2.559000 4.229000 114.184000
1 8 68.727895 0.773784 55.147216 -41.023248 -219.021000 -109.066000 -107.396000 2.559000 4.229000 114.184000
1 9 55.147216 41.023248 68.727895 -0.773784 -219.021000 -109.066000 -107.396000 2.559000 4.229000 114.184000
1 10 20.502175 65.603225 56.056854 39.771239 -219.021000 -109.066000 -107.396000 2.559000 4.229000 114.184000
2 1 -21.974000 68.992000 21.974000 68.992000 -219.021000 -109.066000 -107.396000 2.559000 4.229000 114.184000
2 2 -58.329820 42.899707 -22.775141 68.731694 -219.021000 -109.066000 -107.396000 2.559000 4.229000 114.184000
2 3 -72.405631 0.421185 -58.824952 42.218216 -219.021000 -109.066000 -107.396000 2.559000 4.229000 114.184000
2 4 -58.824952 -42.218216 -72.405631 -0.421185 -219.021000 -109.066000 -107.396000 2.559000 4.229000 114.184000
2 5 -22.775141 -68.731694 -58.329820 -42.899707 -219.021000 -109.066000 -107.396000 2.559000 4.229000 114.184000
2 6 21.974000 -68.992000 -21.974000 -68.992000 -219.021000 -109.066000 -107.396000 2.559000 4.229000 114.184000
2 7 58.329820 -42.899707 22.775141 -68.731694 -219.021000 -109.066000 -107.396000 2.559000 4.229000 114.184000
