!
!Columns:
!
!SUPLAY LAY WIRE Xa Ya Za Xb Yb Zb
!
!These are the wire endpoints for sector 1. We will simply
!duplicate for the other sectors. Note the layers (column 2)
!go from 1 to 8. Layers 1 and 8 are guard layers. Layer 2
!is the first sense layer. Likewise the wires (column 3) go from 
!1 to 114. Wires 1 and 114 are guard wires. Wire 2 is the first
!sense wire. The units are cm.
!
!
1 1 1   20.0718    7.9939  242.2988   18.6344   -7.0966  242.9691
1 1 2   21.3681    8.8031  241.6943   19.7851   -7.8149  242.4325
1 1 3   22.6643    9.6123  241.0899   20.9358   -8.5333  241.8959
1 1 4   23.9606   10.4215  240.4854   22.0866   -9.2517  241.3593
1 1 5   25.2568   11.2307  239.8810   23.2373   -9.9700  240.8227
1 1 6   26.5531   12.0399  239.2765   24.3881  -10.6884  240.2861
1 1 7   27.8493   12.8491  238.6721   25.5388  -11.4068  239.7495
1 1 8   29.1456   13.6583  238.0676   26.6895  -12.1251  239.2129
1 1 9   30.4418   14.4675  237.4632   27.8403  -12.8435  238.6763
1 1 10   31.7381   15.2767  236.8587   28.9910  -13.5618  238.1397
1 1 11   33.0343   16.0859  236.2543   30.1418  -14.2802  237.6031
1 1 12   34.3306   16.8951  235.6498   31.2925  -14.9986  237.0665
1 1 13   35.6269   17.7043  235.0454   32.4433  -15.7169  236.5299
1 1 14   36.9231   18.5135  234.4409   33.5940  -16.4353  235.9933
1 1 15   38.2194   19.3227  233.8365   34.7447  -17.1537  235.4567
1 1 16   39.5156   20.1319  233.2320   35.8955  -17.8720  234.9201
1 1 17   40.8119   20.9411  232.6276   37.0462  -18.5904  234.3835
1 1 18   42.1081   21.7503  232.0231   38.1970  -19.3087  233.8469
1 1 19   43.4044   22.5595  231.4186   39.3477  -20.0271  233.3103
1 1 20   44.7006   23.3687  230.8142   40.4984  -20.7455  232.7737
1 1 21   45.9969   24.1779  230.2097   41.6492  -21.4638  232.2371
1 1 22   47.2931   24.9871  229.6053   42.7999  -22.1822  231.7005
1 1 23   48.5894   25.7963  229.0008   43.9507  -22.9006  231.1639
1 1 24   49.8856   26.6055  228.3964   45.1014  -23.6189  230.6273
1 1 25   51.1819   27.4147  227.7919   46.2521  -24.3373  230.0907
1 1 26   52.4781   28.2239  227.1875   47.4029  -25.0556  229.5541
1 1 27   53.7744   29.0331  226.5830   48.5536  -25.7740  229.0175
1 1 28   55.0706   29.8423  225.9786   49.7044  -26.4924  228.4809
1 1 29   56.3669   30.6515  225.3741   50.8551  -27.2107  227.9443
1 1 30   57.6631   31.4607  224.7697   52.0058  -27.9291  227.4077
1 1 31   58.9594   32.2699  224.1652   53.1566  -28.6475  226.8711
1 1 32   60.2556   33.0791  223.5608   54.3073  -29.3658  226.3345
1 1 33   61.5519   33.8883  222.9563   55.4581  -30.0842  225.7979
