!row 1 name
!row 2 number of paddles
!next N rows, the length (cm) four midplane corners
!L  P0x	P0z	P1x	P1z	P2x	P2z	P3x	P3z
!in sector system. In normal view (beam from left, top sector) a paddle is tilted to the left. P0 is the 
!upper right corner, P1 the bottom right, P2 the bottom left, p3 the upper left

Panel 1A
23
 215.7600  224.2288  639.2190  218.7910  641.7547  216.2553  636.3168  221.6931  633.7811
 222.2200  229.7250  636.6560  224.2872  639.1918  221.7515  633.7539  227.1893  631.2182
 228.5700  235.2212  634.0931  229.7834  636.6288  227.2477  631.1910  232.6855  628.6553
 235.0300  240.7174  631.5302  235.2796  634.0659  232.7439  628.6281  238.1817  626.0923
 241.3800  246.2137  628.9673  240.7758  631.5030  238.2401  626.0651  243.6779  623.5294
 247.8400  251.7099  626.4043  246.2720  628.9400  243.7363  623.5022  249.1742  620.9665
 254.1900  257.2061  623.8414  251.7682  626.3771  249.2325  620.9393  254.6704  618.4036
 260.6500  262.7023  621.2785  257.2645  623.8142  254.7287  618.3764  260.1666  615.8406
 267.0000  268.1985  618.7156  262.7607  621.2513  260.2250  615.8134  265.6628  613.2777
 273.4600  273.6947  616.1526  268.2569  618.6883  265.7212  613.2505  271.1590  610.7148
 279.8100  279.1909  613.5897  273.7531  616.1254  271.2174  610.6876  276.6552  608.1519
 286.2700  284.6871  611.0268  279.2493  613.5625  276.7136  608.1246  282.1514  605.5889
 292.6200  290.1834  608.4639  284.7455  610.9996  282.2098  605.5617  287.6477  603.0260
 299.0800  295.6796  605.9009  290.2417  608.4366  287.7060  602.9988  293.1439  600.4631
 305.4300  301.1758  603.3380  295.7379  605.8737  293.2022  600.4359  298.6401  597.9002
 311.8800  306.6720  600.7751  301.2342  603.3108  298.6984  597.8729  304.1363  595.3372
 318.2300  312.1682  598.2122  306.7304  600.7479  304.1947  595.3100  309.6325  592.7743
 324.6900  317.6644  595.6492  312.2266  598.1849  309.6909  592.7471  315.1287  590.2114
 331.0400  323.1606  593.0863  317.7228  595.6220  315.1871  590.1842  320.6249  587.6485
 337.5000  328.6569  590.5234  323.2190  593.0591  320.6833  587.6212  326.1211  585.0855
 343.8500  334.1531  587.9604  328.7152  590.4962  326.1795  585.0583  331.6174  582.5226
 350.3100  339.6493  585.3975  334.2114  587.9332  331.6757  582.4954  337.1136  579.9597
 356.6600  345.1455  582.8346  339.7076  585.3703  337.1719  579.9325  342.6098  577.3967
 363.1200  350.6417  580.2717  345.2039  582.8074  342.6681  577.3695  348.1060  574.8338
 369.4700  356.1379  577.7087  350.7001  580.2445  348.1644  574.8066  353.6022  572.2709
 375.9300  361.6341  575.1458  356.1963  577.6815  353.6606  572.2437  359.0984  569.7080
 382.2800  367.1303  572.5829  361.6925  575.1186  359.1568  569.6808  364.5946  567.1450
 388.7400  372.6266  570.0200  367.1887  572.5557  364.6530  567.1178  370.0908  564.5821
 395.0900  378.1228  567.4570  372.6849  569.9927  370.1492  564.5549  375.5871  562.0192
 401.5500  383.6190  564.8941  378.1811  567.4298  375.6454  561.9920  381.0833  559.4563
 407.9000  389.1152  562.3312  383.6773  564.8669  381.1416  559.4290  386.5795  556.8933

!row 1 name
!row 2 number of paddles
!next N rows, the length (cm) four midplane corners
!L  P0x	P0z	P1x	P1z	P2x	P2z	P3x	P3z
!in sector system. In normal view (beam from left, top sector) a paddle is tilted to the left. P0 is the 
!upper right corner, P1 the bottom right, P2 the bottom left, p3 the upper left

Panel 2
5
371.3000  391.4761  526.3941  379.8537  545.0735  375.5405  542.3898  387.1628  523.7103
 385.0000  403.2887  507.4090  391.6663  526.0884  387.3530  523.4047  398.9754  504.7253
 398.7000  415.1012  488.4239  403.4788  507.1033  399.1656  504.4196  410.7880  485.7402
 412.5000  426.9138  469.4389  415.2914  488.1183  410.9782  485.4345  422.6005  466.7551
 426.2000  438.7264  450.4538  427.1040  469.1332  422.7907  466.4495  434.4131  447.7701
